
int mapData[15][48] = {
{ 8, 1, 1, 1, 1, 1,  1, 1, 1, 1, 1, 1,  1, 1, 1, 1, 1, 1,  1, 1, 1, 1, 1, 8,  8, 1, 1, 1, 1, 1,  1, 1, 1, 1, 1, 1,  1, 1, 1, 1, 1, 1,  1, 1, 1, 1, 1, 8 },
{ 8, 1, 1, 1, 2, 1,  1, 1, 1, 1, 1, 1,  1, 1, 1, 2, 1, 1,  1, 1, 1, 1, 1, 8,  8, 1, 1, 1, 2, 1,  1, 1, 1, 1, 1, 1,  1, 1, 1, 2, 1, 1,  1, 1, 1, 1, 1, 8 },
{ 8, 1, 1, 1, 1, 1,  1, 1, 2, 1, 1, 1,  1, 1, 1, 1, 1, 1,  1, 1, 2, 1, 1, 8,  8, 1, 1, 1, 1, 1,  1, 1, 2, 1, 1, 1,  1, 1, 1, 1, 1, 1,  1, 1, 2, 1, 1, 8 },
{ 8, 1, 1, 1, 1, 1,  1, 1, 1, 1, 1, 2,  1, 1, 1, 1, 1, 1,  1, 1, 1, 1, 1, 8,  8, 1, 1, 1, 1, 1,  1, 1, 1, 1, 1, 2,  1, 1, 1, 1, 1, 1,  1, 1, 1, 1, 1, 8 },
{ 8, 1, 1, 1, 1, 1,  1, 1, 1, 1, 1, 1,  1, 1, 1, 1, 1, 1,  1, 1, 1, 1, 1, 8,  8, 1, 1, 1, 1, 1,  1, 1, 1, 1, 1, 2,  1, 1, 1, 1, 1, 1,  1, 1, 1, 1, 1, 8 },

{ 8, 1, 1, 2, 1, 1,  1, 1, 1, 1, 1, 1,  1, 1, 1, 1, 1, 1,  1, 1, 1, 1, 2, 8,  8, 1, 1, 2, 1, 1,  1, 1, 1, 1, 1, 1,  1, 1, 1, 1, 1, 1,  1, 1, 1, 1, 2, 8 },
{ 8, 1, 1, 1, 1, 1,  1, 1, 1, 2, 1, 1,  1, 1, 1, 1, 2, 1,  1, 1, 1, 1, 1, 8,  8, 1, 1, 1, 1, 1,  1, 1, 1, 2, 1, 1,  1, 1, 1, 1, 2, 1,  1, 1, 1, 1, 1, 8 },
{ 8, 1, 1, 1, 1, 1,  1, 1, 1, 1, 1, 1,  1, 1, 1, 1, 1, 1,  1, 1, 1, 1, 1, 8,  8, 1, 1, 1, 1, 1,  1, 1, 1, 1, 1, 1,  1, 1, 1, 1, 1, 1,  1, 1, 1, 1, 1, 8 },
{ 8, 1, 1, 1, 1, 2,  1, 1, 1, 1, 1, 8,  8, 1, 1, 1, 1, 1,  1, 2, 1, 1, 1, 8,  8, 1, 1, 1, 1, 2,  1, 1, 1, 1, 1, 8,  8, 1, 1, 1, 1, 1,  1, 2, 1, 1, 1, 8 },
{ 8, 1, 1, 1, 1, 1,  1, 1, 8, 8, 8, 1,  1, 2, 1, 1, 1, 1,  1, 1, 1, 1, 1, 8,  8, 1, 1, 1, 1, 1,  1, 1, 8, 8, 8, 1,  1, 2, 1, 1, 1, 1,  1, 1, 1, 1, 1, 8 },

{ 8, 1, 2, 1, 1, 1, 10,10, 1, 1, 1, 1,  1, 1, 1, 1, 2, 1,  1, 1, 1, 1, 1, 1,  1, 1, 2, 1, 1, 1, 10,10, 1, 1, 1, 1,  1, 1, 1, 1, 2, 1,  1, 1, 1, 1, 1, 8 },
{ 8, 1, 1, 1, 1, 1,  1, 2, 1, 1, 1, 1,  1, 1, 1, 1, 1, 1,  1, 1, 2, 1, 1, 1,  1, 1, 1, 1, 1, 1,  1, 2, 1, 1, 1, 1,  1, 1, 1, 1, 1, 1,  1, 1, 2, 1, 1, 8 },
{ 8, 1, 1, 1, 1, 1,  1, 1, 1, 1, 1, 1,  1, 1, 1, 1, 1, 1,  1, 1, 1, 1, 1, 1,  1, 1, 1, 1, 1, 1,  1, 1, 1, 1, 1, 1,  1, 1, 1, 1, 1, 1,  1, 1, 1, 1, 1, 8 },
{ 8, 8, 8, 8, 8, 8,  8, 8, 8, 8, 8, 8,  8, 8, 8, 8, 8, 8,  8, 8, 8, 8, 8, 8,  8, 8, 8, 8, 8, 8,  8, 8, 8, 8, 8, 8,  8, 8, 8, 8, 8, 8,  8, 8, 8, 8, 8, 8 },
{ 1, 1, 1, 1, 1, 1,  1, 1, 1, 1, 1, 1,  1, 1, 1, 1, 1, 1,  1, 1, 1, 1, 1, 0,  1, 1, 1, 1, 1, 1,  1, 1, 1, 1, 1, 1,  1, 1, 1, 1, 1, 1,  1, 1, 1, 1, 1, 0 },
};
